run_id,seed,scenario,policy,profit,revenue,boarded_load_factor,accepted_booking_load_factor,booking_rate,avg_fare,denied_boardings,no_show_count,ticket_revenue,ancillary_revenue,total_cost
55,1002084,baseline,rule_based,19223.0,35673.0,0.8333333333333334,0.9277777777777778,0.9027027027027027,183.61077844311376,0,17,30663.0,5010.0,16450.0
56,1002085,baseline,rule_based,18752.0,35265.0,0.8388888888888889,0.9166666666666666,0.8918918918918919,183.72727272727272,0,14,30315.0,4950.0,16513.0
57,1002086,baseline,rule_based,17411.0,33672.0,0.8166666666666667,0.8777777777777778,0.8540540540540541,183.1139240506329,0,11,28932.0,4740.0,16261.0
58,1002087,baseline,rule_based,20516.0,37344.0,0.8666666666666667,0.9777777777777777,0.9513513513513514,182.1818181818182,0,20,32064.0,5280.0,16828.0
59,1002088,baseline,rule_based,17324.0,33144.0,0.7777777777777778,0.8666666666666667,0.8432432432432433,182.46153846153845,0,16,28464.0,4680.0,15820.0
60,1002089,baseline,rule_based,21875.0,39207.0,0.9111111111111111,1.0166666666666666,0.9891891891891892,184.24590163934425,0,19,33717.0,5490.0,17332.0
61,1002090,baseline,rule_based,21320.0,37644.0,0.8222222222222222,0.9777777777777777,0.9513513513513514,183.88636363636363,0,28,32364.0,5280.0,16324.0
62,1002091,baseline,rule_based,14819.0,30009.0,0.7222222222222222,0.7833333333333333,0.7621621621621621,182.82978723404256,0,11,25779.0,4230.0,15190.0
63,1002092,baseline,rule_based,14444.0,29760.0,0.7333333333333333,0.7777777777777778,0.7567567567567568,182.57142857142858,0,8,25560.0,4200.0,15316.0
64,1002093,baseline,rule_based,18254.0,34578.0,0.8222222222222222,0.9,0.8756756756756757,183.44444444444446,0,14,29718.0,4860.0,16324.0
65,1002094,baseline,rule_based,17417.0,33741.0,0.8222222222222222,0.8833333333333333,0.8594594594594595,182.20754716981133,0,11,28971.0,4770.0,16324.0
66,1002095,baseline,rule_based,18791.0,34737.0,0.7888888888888889,0.9055555555555556,0.8810810810810811,183.11042944785277,0,21,29847.0,4890.0,15946.0
67,1002096,baseline,rule_based,16937.0,33135.0,0.8111111111111111,0.8611111111111112,0.8378378378378378,183.7741935483871,0,9,28485.0,4650.0,16198.0
68,1002097,baseline,rule_based,18383.0,34518.0,0.8055555555555556,0.9,0.8756756756756757,183.07407407407408,0,17,29658.0,4860.0,16135.0
69,1002098,baseline,rule_based,19031.0,35922.0,0.8722222222222222,0.9333333333333333,0.9081081081081082,183.82142857142858,0,11,30882.0,5040.0,16891.0
70,1002099,baseline,rule_based,17162.0,32667.0,0.75,0.85,0.827027027027027,183.50980392156862,0,18,28077.0,4590.0,15505.0
71,1002100,baseline,rule_based,18974.0,35613.0,0.85,0.9277777777777778,0.9027027027027027,183.25149700598803,0,14,30603.0,5010.0,16639.0
72,1002101,baseline,rule_based,18503.0,34449.0,0.7888888888888889,0.8944444444444445,0.8702702702702703,183.9689440993789,0,19,29619.0,4830.0,15946.0
73,1002102,baseline,rule_based,19292.0,35931.0,0.85,0.9388888888888889,0.9135135135135135,182.6094674556213,0,16,30861.0,5070.0,16639.0
74,1002103,baseline,rule_based,19664.0,36051.0,0.8277777777777777,0.9388888888888889,0.9135135135135135,183.31952662721895,0,20,30981.0,5070.0,16387.0
75,1002104,baseline,rule_based,19475.0,35484.0,0.7944444444444444,0.9222222222222223,0.8972972972972973,183.75903614457832,0,23,30504.0,4980.0,16009.0
76,1002105,baseline,rule_based,17288.0,33423.0,0.8055555555555556,0.8722222222222222,0.8486486486486486,182.88535031847132,0,12,28713.0,4710.0,16135.0
77,1002106,baseline,rule_based,16067.0,31572.0,0.75,0.8222222222222222,0.8,183.32432432432432,0,13,27132.0,4440.0,15505.0
78,1002107,baseline,rule_based,18797.0,35373.0,0.8444444444444444,0.9277777777777778,0.9027027027027027,181.81437125748502,0,15,30363.0,5010.0,16576.0
79,1002108,baseline,rule_based,16106.0,31611.0,0.75,0.8277777777777777,0.8054054054054054,182.15436241610738,0,14,27141.0,4470.0,15505.0
80,1002109,baseline,rule_based,18935.0,35763.0,0.8666666666666667,0.9277777777777778,0.9027027027027027,184.14970059880238,0,11,30753.0,5010.0,16828.0
81,1002110,baseline,rule_based,16319.0,31761.0,0.7444444444444445,0.8277777777777777,0.8054054054054054,183.16107382550337,0,15,27291.0,4470.0,15442.0
82,1002111,baseline,rule_based,19130.0,34887.0,0.7722222222222223,0.9055555555555556,0.8810810810810811,184.03067484662577,0,24,29997.0,4890.0,15757.0
83,1002112,baseline,rule_based,18287.0,34359.0,0.8,0.8944444444444445,0.8702702702702703,183.40993788819875,0,17,29529.0,4830.0,16072.0
